,Case #,State,Full Date,Day,Month,Year,date_diff,tier
0,1,TX,1966-08-01,1,8,1966,NaT,tier_6
1,2,AZ,1966-11-12,12,11,1966,103 ,tier_6
2,3,PA,1967-10-23,23,10,1967,345 ,tier_6
3,4,MI,1968-03-16,16,3,1968,145 ,tier_6
4,5,PA,1969-04-05,5,4,1969,385 ,tier_6
5,6,NY,1970-09-23,23,9,1970,536 ,tier_6
6,7,NC,1972-05-29,29,5,1972,614 ,tier_6
7,8,NJ,1972-06-21,21,6,1972,23 ,tier_6
8,9,LA,1973-01-07,7,1,1973,200 ,tier_6
9,10,CA,1975-03-02,2,3,1975,784 ,tier_6
10,11,CA,1976-07-12,12,7,1976,498 ,tier_6
11,12,NY,1977-02-14,14,2,1977,217 ,tier_5
12,13,OR,1977-07-23,23,7,1977,159 ,tier_5
13,14,NJ,1977-08-26,26,8,1977,34 ,tier_5
14,15,RI,1978-06-17,17,6,1978,295 ,tier_5
15,16,TX,1980-02-03,3,2,1980,596 ,tier_5
16,17,TX,1980-06-22,22,6,1980,140 ,tier_5
17,18,PA,1980-07-21,21,7,1980,29 ,tier_5
18,19,OR,1981-05-07,7,5,1981,290 ,tier_5
19,20,KY,1981-10-16,16,10,1981,162 ,tier_5
20,21,AK,1982-05-03,3,5,1982,199 ,tier_5
21,22,TX,1982-08-09,9,8,1982,98 ,tier_5
22,23,FL,1982-08-20,20,8,1982,11 ,tier_5
23,24,NY,1983-02-03,3,2,1983,167 ,tier_5
24,25,AK,1983-03-01,1,3,1983,26 ,tier_5
25,26,TX,1983-10-11,11,10,1983,224 ,tier_5
26,27,AK,1984-05-17,17,5,1984,219 ,tier_5
27,28,TX,1984-06-29,29,6,1984,43 ,tier_5
28,29,CA,1984-07-18,18,7,1984,19 ,tier_5
29,30,AR,1984-07-24,24,7,1984,6 ,tier_5
30,31,PA,1985-03-16,16,3,1985,235 ,tier_5
31,32,OK,1986-08-20,20,8,1986,522 ,tier_5
32,33,FL,1987-04-23,23,4,1987,246 ,tier_4
33,34,CA,1988-02-16,16,2,1988,299 ,tier_4
34,35,NC,1988-07-17,17,7,1988,152 ,tier_4
35,36,IL,1988-09-22,22,9,1988,67 ,tier_4
36,37,CA,1989-01-17,17,1,1989,117 ,tier_4
37,38,KY,1989-09-14,14,9,1989,240 ,tier_4
38,39,FL,1990-06-18,18,6,1990,277 ,tier_4
39,40,NJ,1991-10-10,10,10,1991,479 ,tier_4
40,41,TX,1991-10-16,16,10,1991,6 ,tier_4
41,42,IA,1991-11-01,1,11,1991,16 ,tier_4
42,43,KY,1991-11-09,9,11,1991,8 ,tier_4
43,44,MI,1991-11-14,14,11,1991,5 ,tier_4
44,45,AZ,1992-03-15,15,3,1992,122 ,tier_4
45,46,CA,1992-05-01,1,5,1992,47 ,tier_4
